condition,n,control_rate,treatment_rate,coef,p_value,odds_ratio,lr_chi2,lr_p,ame,ame_p
Scarcity,76,0.4864864864864865,0.3076923076923077,-0.756862994946053,0.11338938657220132,0.4691358024691358,2.553897264743668,0.11002255779604986,-0.1787941787941788,0.10570339537188533
Social Proof,78,0.35135135135135137,0.8292682926829268,2.193554848447257,4.75585163062231e-05,8.967032967032969,19.3751856307006,1.0739347141575095e-05,0.4779169413315754,1.0909845902240534e-06
Compromise,77,0.5641025641025641,0.6578947368421053,0.39609735810456426,0.399683592778161,1.486013986013986,0.713557150762,0.39826544729969016,0.09379217273954121,0.3963323426959404
Decoy,79,0.46153846153846156,0.5,0.15415067982725836,0.7323600018926151,1.1666666666666667,0.11704590656847813,0.7322607933817172,0.038461538461538436,0.7320954450369066
